image,text
S_20130901_1015_04_229_14.jpg,a biscuit that is a star and a present is a rectangle .
S_20130714_0827_02_034_13.jpg,"there are woodchips , hi yeah ."
S_20130811_0925_03_306_03.jpg,"there is a queen , a rabbit , a shoe , and a toy ."
S_20141026_2409_01_179_00.jpg,it says which noisy truck is your favorite ?
S_20130824_1007_02_077_04.jpg,who 's behind grumpy robot ?
S_20130504_0617_01_112_15.jpg,that is a glitter book .
S_20130901_1015_04_095_03.jpg,a white snowman and a brown bear .
S_20130901_1015_04_165_04.jpg,crayons and cherries .
S_20130529_0712_03_032_11.jpg,look at the goldfish 's sparkling scales .
S_20141102_2416_01_125_02.jpg,""" she said they shoud blow bubbles . """
S_20130717_0900_01_029_11.jpg,there 's a carrot and an egg .
S_20141108_2422_01_067_01.jpg,can you find the other fire engine ?
S_20130811_0925_03_323_07.jpg,there are ten doggies .
S_20130731_0914_01_120_03.jpg,that s a sad baby and there s a girl with a doggy .
S_20130901_1015_04_116_07.jpg,another doggy and a fish .
S_20140420_1803_06_034_01.jpg,"he is our real estate agent , remember he came by and we talked to him ?"
S_20130519_0702_02_046_00.jpg,"okay well those are your books do you want to read any of them again , you want to read the farm book again , okay ,"
S_20141026_2409_02_361_12.jpg,pebe likes grapefruit and sam likes grapefruit .
S_20130626_0809_01_044_09.jpg,there 's a girl blowing bubbles .
S_20130915_1029_06_037_01.jpg,"now , i can dance and widdle and sway ."
S_20130901_1015_04_212_07.jpg,a boat on the sea and shoes that fit me .
S_20130829_1012_03_028_04.jpg,yeah that 's a kite and a train and a kitty .
S_20140426_1809_08_027_08.jpg,see there is a big pile of sam 's clothes .
S_20130724_0907_01_037_01.jpg,"a sleeping kitty and there s a leaping kitty he s about to jump a fluffy kitty and a hungry kitty , he s eating"
S_20130814_0928_03_173_09.jpg,can you look behind the beach ball .
S_20130814_0928_03_412_02.jpg,there is a baby with some paint and there is a baby on the beach .
S_20141019_2402_02_195_15.jpg,"ok , as much as gets on there , then you have to eat the bread and the rest of the jam"
S_20130529_0712_03_009_10.jpg,and here 's a lamb that goes baa and owls - let 's count them .
S_20131110_1224_02_006_03.jpg,"oh , what 's this coming out of the hose ?"
S_20130901_1015_04_144_00.jpg,fifty cars .
S_20130626_0809_05_009_01.jpg,this looks like a good banana !
S_20130814_0928_03_368_10.jpg,a baby with fingers in her mouth and there is a baby swimming .
S_20130919_1102_02_037_03.jpg,"those are you sweatpants , those are you camo pants , those are your jeans ; they are a bit big though !"
S_20140430_1813_01_099_03.jpg,"zero , one , two , three , four , five , six , seven , eight , nine ."
S_20141009_2322_03_043_12.jpg,"s is what sam starts with so we 'll draw an s there , what comes after s"
S_20140420_1803_01_400_01.jpg,"yeah that 's a grape for sam , you can eat it , you can eat it"
S_20140418_1801_01_134_03.jpg,"  oop , that 's a-- that 's a delivery truck ."
S_20141108_2422_01_155_02.jpg,lamb is sorta like a blanket and sorta like a lamb
S_20141026_2409_01_148_07.jpg,i call it a lorry though .
S_20130824_1007_04_020_02.jpg,that s the dishwasher
S_20130710_0823_04_023_19.jpg,wann play with car ?
S_20130529_0712_02_064_12.jpg,"here 's a boy in a hat , and he 's looking at you ,"
S_20140418_1801_01_110_00.jpg,do you want to see what the next truck is ?
S_20140426_1809_01_354_04.jpg,"and there 's a wasp , which looks a lot like a bee ."
S_20130605_0719_01_082_19.jpg,"let 's try the book about babies , it 's been a while since we 've read that ."
S_20141015_2328_01_132_00.jpg,the garbage truck already came .
S_20130919_1102_03_010_07.jpg,here are foods and you love foods !
S_20130724_0907_01_024_17.jpg,oh and here is a blanket want to see what is behind the blanket
S_20130915_1029_06_083_05.jpg,that 's your shoe .
S_20130526_0709_04_071_13.jpg,there 's a flower so pretty and a car for the city .
S_20131003_1116_03_066_13.jpg,"here are all the babies , but there 's still one baby missing !"
S_20130619_0802_03_008_01.jpg,and she is drinking milk
S_20141011_2324_04_028_08.jpg,you can hang up your pots and pans like that on the hook .
S_20130622_0805_05_056_09.jpg,cup and ball .
S_20130703_0816_06_016_12.jpg,if you 're happy and you know it clap your hands .
S_20140423_1806_10_019_19.jpg,they 're people on the carousel
S_20130626_0809_01_039_02.jpg,the high chair like you sit in and a toy that you play with .
S_20130612_0726_02_036_00.jpg,"look at the cup- wanna put the egg in the cup , boink , how s that work can you get the egg out of the cup there you go"
S_20130519_0702_03_003_19.jpg,"okay are you tired of the ball the other thing we can do how about this ball , this ball falls differently that ’s a big ball big balls too are bouncy"
S_20130504_0617_01_047_10.jpg,we have a vacum cleaner .
S_20141009_2322_02_052_13.jpg,"lets … head over to the bridge , no"
S_20141015_2328_01_120_02.jpg,yeah the garbage truck came by .
S_20140423_1806_06_008_14.jpg,"yeah , you want to try it with the new puzzle ?"
S_20130814_0928_03_076_12.jpg,we have all these books .
S_20130829_1012_04_040_24.jpg,"twenty bears , fifty cars , one hundred flowers , a banana , an apple and an orange , lollipops and chocolate , a leaf and some apples , crayons and cherries , kitties and skittles and the countlist ."
S_20140406_1720_04_064_10.jpg,and here are some markers .
S_20130529_0712_02_083_02.jpg,"ah , you want this kitty book ?"
S_20130602_0716_05_024_01.jpg,"here , try standing against the toys ."
S_20130619_0802_03_003_28.jpg,do you want to try playing with this on your own or do you want me to read it again ?
S_20140403_1717_02_040_15.jpg,"yeah , that 's right we hit a pillow ."
S_20140119_1502_03_013_09.jpg,""" go look at the log huh """
S_20140503_1816_04_080_04.jpg,that is my belly .
S_20141102_2416_01_083_13.jpg,its about their big balloon !
S_20130526_0709_04_029_05.jpg,"ok , turn the page again ."
S_20130619_0802_03_028_19.jpg,"here we go , open the curtains"
S_20140423_1806_06_007_08.jpg,"yeah , the new puzzle"
S_20131031_1214_03_063_07.jpg,""" ookay , banana .. """
S_20130911_1025_01_007_18.jpg,"we already looked at this , remember that s the baby dinosaur ?"
S_20141011_2324_05_231_13.jpg,you have to put salt in the play doh .
S_20130622_0805_06_106_19.jpg,"look , there 's some books ."
S_20130818_1001_02_143_08.jpg,you can put lots of stuff in that cup .
S_20141108_2422_01_043_02.jpg,can you find the biplane ?
S_20140409_1723_02_130_05.jpg,now well put the others in the fridge .
S_20131110_1224_02_031_03.jpg,let 's water something !
S_20130808_0922_03_062_19.jpg,"eating a whole banana you are still growing , banana ."
S_20130526_0709_02_005_02.jpg,if you want you can climb up and play with things on the couch .
S_20141102_2416_01_208_07.jpg,"you see if you can find , there is a blue car ."
S_20131031_1214_03_124_09.jpg,""" mmyeah and here is , here is a guy painting , just like toby paints ."
S_20140430_1813_05_113_06.jpg,i do n't think we can go pass the chain .
S_20140413_1727_01_067_10.jpg,a cow
S_20140403_1717_02_088_02.jpg,"yeah , you can hit the- you can hit pillows though or you can <unk> pillows because that does n't make noise or break them ."
S_20130731_0914_01_119_16.jpg,that baby is eating eggs and this girl is reading a book .
S_20130512_0625_01_002_14.jpg,""" look at these two balls """
S_20130919_1102_03_036_05.jpg,"the lightbulb itself , is not that interesting ."
S_20130626_0809_01_101_14.jpg,and there 's a baby with some ducks .
S_20131019_1202_03_014_04.jpg,"oh , let 's get a banana ."
S_20130706_0819_04_100_07.jpg,want to press meow again ?
S_20131003_1116_05_064_05.jpg,you want shoes ?
S_20140406_1720_01_351_13.jpg,"wait we should n't take these out , i was just taking off the bar code ."
S_20130706_0819_01_039_02.jpg,are you gon na help with the laundry as well ?
S_20130526_0709_02_030_07.jpg,you got your egg .
S_20140403_1717_07_058_07.jpg,look at all the stuff
S_20131110_1224_02_030_06.jpg,do you water something ?
S_20131113_1227_07_031_02.jpg,"see , look : it says eight zero zero , when it says eight two zero , or eight three zero ."
S_20140423_1806_09_016_09.jpg,it goes round and round .
S_20130622_0805_04_026_01.jpg,those are shoes .
S_20130808_0922_01_008_22.jpg,there 's some cute kitties and a kitty washing .
S_20141011_2324_05_380_05.jpg,blue yeah .
S_20140426_1809_01_235_06.jpg,there 's a cow and there are lots of cows .
S_20130717_0900_01_020_01.jpg,"there 's a tiny tiny bear , do you see the bear ?"
S_20140123_1506_02_009_00.jpg,it 's a little toy train .
S_20130605_0719_01_126_24.jpg,and here 's a girl with a bottle and here 's a baby with a guitar .
S_20140119_1502_03_010_29.jpg,""" want to look at some logs ? """
S_20141026_2409_01_149_04.jpg,want to listen to the lorry ?
S_20141102_2416_01_229_02.jpg,or we can we look at one of the library books that is in the living room .
S_20140420_1803_01_116_09.jpg,oh its ok it 's just the door
S_20130915_1029_06_066_10.jpg,"yea the numbers on the , one , two , three , and then there are stars ."
S_20130417_0600_01_007_20.jpg,"babababa , moo , a little cow , moo ."
S_20141019_2402_04_175_05.jpg,wanna put some red in ?
S_20141015_2328_01_010_05.jpg,what shoe should we do first ?
S_20131012_1125_03_011_02.jpg,those are tobi 's shoes .
S_20130724_0907_01_042_06.jpg,yummy banana a carrot and an egg oops
S_20130626_0809_09_014_14.jpg,do you want the stick back ?
S_20130811_0925_03_159_08.jpg,i 'll throw you this ball .
S_20130616_0730_04_018_08.jpg,there 's lot of plants here .
S_20130928_1111_03_019_03.jpg,"and then there is mommy – that 's me , and nannie"
S_20140409_1723_02_097_20.jpg,"it ’s a little chick , and a sheep , and a horse , and a cow , and a pig"
